accept_type,venue,year,paper_id,pdf_url,paper_title,first_author
spotlight,NEURIPS,2024,TxffvJMnBy,https://openreview.net/pdf/269618651cc4c3886e154ec85079164a62691bdc.pdf,Optimal Algorithms for Online Convex Optimization with Adversarial Constraints,Abhishek Sinha
spotlight,ICML,2024,TfwGtfPkhV,https://openreview.net/pdf/a89b112bea8fde3d1e91d41d41e6dd7fdf86aff2.pdf,Testing the Feasibility of Linear Programs with Bandit Feedback,Aditya Gopalan
spotlight,ICLR,2024,eUgS9Ig8JG,https://openreview.net/pdf/b5b2e785dec69b9ea0c8b01d6e2eca5896246cce.pdf,SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,Sravanthi Gurugubelli
spotlight,ICLR,2024,TrKq4Wlwcz,https://openreview.net/pdf/b2522b24d83cf73195d3d49d25c22b11f9633228.pdf,"Large Content And Behavior Models To Understand, Simulate, And Optimize Content And Behavior",Ashmit Khandelwal
spotlight,ICLR,2024,SQrHpTllXa,https://openreview.net/pdf/0a15c1a222a5d423ce19524261f01484f4e7b695.pdf,CABINET: Content Relevance-based Noise Reduction for Table Question Answering,Sohan Patnaik
spotlight,ICLR,2025,bW9fGYo44s,https://openreview.net/pdf/45b7da6fce6fc272027212b6c17632d43a4c1530.pdf,MotionAura: Generating High-Quality and Motion Consistent Videos using Discrete Diffusion,Onkar Kishor Susladkar
spotlight,NEURIPS,2024,nY0BrZdqLt,https://openreview.net/pdf/08ee7a3ea3b3fd8e7bf896a4e8fac2fc695aab87.pdf,Time-Reversal Provides Unsupervised Feedback to LLMs,Yerram Varun
poster,NEURIPS,2024,7Mo1NOosNT,https://openreview.net/pdf/015330ba1dcf5481f996a511f4b038f8acfab65f.pdf,COLD: Causal reasOning in cLosed Daily activities,Abhinav Joshi
poster,NEURIPS,2024,1po4j1Tv7O,https://openreview.net/pdf/b178b4957c9f40578fc6a3a1e59fd2b08dc2b708.pdf,Sample-Efficient Constrained Reinforcement Learning with General Parameterization,Washim Uddin Mondal
poster,ICML,2024,yhpDKSw7yA,https://openreview.net/pdf/3f1185c2cb457015bf09600ef1508b8737fcf2a4.pdf,Provably Robust DPO: Aligning Language Models with Noisy Feedback,Sayak Ray Chowdhury
poster,ICML,2024,tTtSnpH4fc,https://openreview.net/pdf/a7f969be6c3977786d11395298655bfc29c99967.pdf,Finite Time Logarithmic Regret Bounds for Self-Tuning Regulation,Rahul Singh
poster,ICML,2024,merZTLSdC9,https://openreview.net/pdf/0615d619c3602e2d636f310e2ddca4c631b9613c.pdf,On Online Experimentation without Device Identifiers,
poster,NEURIPS,2024,HbV5vRJMOY,https://openreview.net/pdf/34a8b1b90acda923db4408bc2dca4c3d5f6d3531.pdf,Mixture of Nested Experts: Adaptive Processing of Visual Tokens,Gagan Jain
poster,ICML,2024,l6Hef6FVd0,https://openreview.net/pdf/486d2e3f8b1d6cd84cc050e257c70fda5c2f6980.pdf,PIPER: Primitive-Informed Preference-based Hierarchical Reinforcement Learning via Hindsight Relabeling,Utsav Singh
poster,ICML,2024,eo88noTbb5,https://openreview.net/pdf/17a75d2d4ceb5ac28e380f4e82e1c0df8d09dbb8.pdf,Agnostic Learning of Mixed Linear Regressions with EM and AM Algorithms,Avishek Ghosh
poster,ICML,2024,bfQCO9Vqhk,https://openreview.net/pdf/15e9e2ce1a2a6304834b144d8443de2478e30aa7.pdf,Submodular framework for structured-sparse optimal transport,
