Affiliation Name,Affiliation Domain,Affiliation Country
Unknown,unknown.edu,UNK
Institut Supérieur de l'Aéronautique et de l'Espace,isae-supaero.fr,FR
Stanford University,stanford.edu,US
"DeepMind, London, UK",deepmind.com,GB
TU Darmstadt,tu-darmstadt.de,DE
University of Pittsburgh,pitt.edu,US
Peng Cheng Laboratory,pcl.ac.cn,CN
Unknown,unknown.edu,UNK
Skolkovo Institute of Science and Technology,skoltech.ru,RU
Université de Toulouse,univ-toulouse.fr,FR
Renmin University of China,ruc.edu.cn,CN
Kuaishou,kuaishou.com,CN
"Institute of Semiconductors, Chinese Academy of Sciences",semi.ac.cn,CN
University of the Chinese Academy of Sciences,ucas.edu.cn,CN
North Carolina State University,ncsu.edu,US
Stanford University,stanford.edu,US
Google,google.com,US
Peking University,pku.edu.cn,CN
Unknown,unknown.edu,UNK
Amazon,amazon.com,US
Peking University,pku.edu.cn,CN
Tsinghua University,tsinghua.edu.cn,CN
Tsinghua University,tsinghua.edu.cn,CN
Unknown,unknown.edu,UNK
Johannes Kepler Universität Linz,jku.at,AT
MiHoYo,mihoyo.com,UNK
Facebook,meta.com,US
Stanford University,stanford.edu,US
Stanford University,stanford.edu,US
University of Cambridge,cam.ac.uk,UK
EleutherAI,eleuther.ai,AI
Xiamen University,xmu.edu.cn,CN
Nanjing University of Aeronautics and Astronautics,nuaa.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Tencent AI Lab,tencent.com,CN
Tencent AI Lab,tencent.com,CN
Monash University,monash.edu,UNK
Griffith University,griffith.edu.au,AU
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, Santa Barbara",ucsb.edu,US
Aarhus University,au.dk,DK
Unknown,unknown.edu,UNK
National Information Processing Institute,opi.org.pl,PL
DataChat,datachat.ai,AI
ellamind GmbH,ellamind.com,UNK
Universität Hamburg,uni-hamburg.de,DE
University of Wuppertal,uni-wuppertal.de,DE
Unknown,unknown.edu,UNK
Peking University,pku.edu.cn,CN
CentraleSupelec,centralesupelec.fr,FR
Aarhus University,chc.au.dk,DK
Aarhus University,au.dk,DK
Independent,gmail.com,US
University of Zurich,uzh.ch,CH
Stanford University,stanford.edu,US
CentraleSupelec,centralesupelec.fr,FR
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
SaluteDevices,salutedevices.org,UNK
McGill University,mcgill.ca,CA
R V College of Engineering,rvce.edu.in,IN
"Higher School of Economics, Higher School of Economics",edu.hse.ru,RU
"Institute of Technology,Nirma University",nirmauni.ac.in,IN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Johns Hopkins University,jhu.edu,US
Unknown,unknown.edu,UNK
Bayer Ag,bayer.com,UNK
Bayer Ag,bayer.com,UNK
Unknown,unknown.edu,UNK
"University of Minnesota, Minneapolis",umn.edu,US
AIRI,airi.net,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Cornell University,cornell.edu,US
Princeton University,princeton.edu,US
Unknown,unknown.edu,UNK
Toyota Technological Institute at Chicago,ttic.edu,US
"University of California, Berkeley",berkeley.edu,US
Apple,apple.com,US
Monash University,,UNK
Stanford University,stanford.edu,US
Beijing Jiaotong University,bjtu.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Columbia University,columbia.edu,US
Unknown,unknown.edu,UNK
Technische Universität Clausthal,tu-clausthal.de,DE
University of Helsinki,helsinki.fi,FI
Sheffield Hallam University,shu.ac.uk,UK
Sheffield Hallam University,shu.ac.uk,UK
Sheffield Hallam University,shu.ac.uk,UK
Zhejiang Lab,zhejianglab.com,CN
Zhejiang University,zju.edu.cn,CN
"Mashang Consumer Finance Co, Ltd",msxf.com,UNK
Zhejiang University,zju.edu.cn,CN
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
"Computer Science Department, Stanford University",cs.stanford.edu,US
Nanjing University,nju.edu.cn,CN
nanjing university,nju.edu,CN
Nanjing University,nju.edu.cn,CN
Yale University,yale.edu,US
Yale University,yale.edu,US
Unknown,unknown.edu,UNK
Yale University,yale.edu,US
Dartmouth College,dartmouth.edu,US
University of Goettingen,uni-goettingen.de,DE
Hamburg University of Technology,tuhh.de,DE
Technical University Hamburg,tuhh.de,DE
Colorado School of Mines,mines.edu,UNK
Unknown,unknown.edu,UNK
Colorado School of Mines,mines.edu,UNK
Colorado School of Mines,mines.edu,UNK
Colorado School of Mines,mines.edu,UNK
Colorado School of Mines,mines.edu,UNK
Cohere For AI,cohere.for.ai,AI
Cohere,cohere.com,CA
Cohere,cohere.com,CA
Unknown,unknown.edu,UNK
Cohere,cohere.com,CA
University of Alberta,ualberta.ca,CA
"Monash University, Malaysia Campus",monash.edu.my,MY
Unknown,unknown.edu,UNK
Facebook AI Research,facebook.com,US
Facebook,fb.com,US
Facebook,fb.com,US
Unknown,unknown.edu,UNK
Southeast University,seu.edu.cn,CN
Korea Advanced Institute of Science & Technology,kaist.ac.kr,KR
Samsung Research,samsung.com,KR
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of Wisconsin - Madison,wisc.edu,US
Zhejiang Lab,cn.edu,UNK
Beijing Academy of Artificial Intelligence,baai.ac.cn,CN
"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",ia.ac.cn,CN
"University of Texas, Austin",cs.utexas.edu,US
Unknown,unknown.edu,UNK
"University of California, San Diego",ucsd.edu,US
Apollo Research,apolloresearch.ai,AI
"Department of Computer Science, University of Oxford",cs.ox.ac.uk,UK
University of Toronto,utoronto.ca,CA
Unknown,unknown.edu,UNK
Facebook,meta.com,US
"Department of Computer Science and Technology, Tsinghua University",mails.tsinghua.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Northeastern University,neu.edu.cn,CN
Peking University,stu.pku.edu.cn,CN
New York University,nyu.edu,US
City University of Hong Kong,cityu.edu.hk,HK
"The Chinese University of Hong Kong, Shenzhen",cuhk.edu.cn,CN
Peking University,pku.edu.cn,CN
Unknown,unknown.edu,UNK
Georgia Institute of Technology,gatech.edu,US
Univ. of Illinois at Urbana-Champaign,,UNK
University of Oxford,ox.ac.uk,UK
Unknown,unknown.edu,UNK
"University of Oxford, University of Oxford",eng.ox.ac.uk,UK
Unknown,unknown.edu,UNK
OMRON SINIC X Corporation,sinicx.com,CN
University of Basel,unibas.ch,CH
"University of California, Los Angeles",ucla.edu,US
FDA,fda.hhs.gov,US
"University of California, Los Angeles",ucla.edu,US
"University of California, Los Angeles",ucla.edu,US
University of Cambridge,cam.ac.uk,UK
Unknown,unknown.edu,UNK
Alibaba Group,alibaba-inc.com,CN
Vanderbilt University,vanderbilt.edu,US
Unknown,unknown.edu,UNK
Lawrence Livermore National Labs,llnl.gov,US
Boston University,bu.edu,US
Boston University,bu.edu,US
University College London,ucl.ac.uk,UK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Zhejiang University,zju.edu.cn,CN
Beijing Institute for General Artificial Intelligence,bigai.ai,AI
"BITS Pilani, Birla Institute of Technology and Science",pilani.bits-pilani.ac.in,IN
Université Paris-Dauphine - PSL,dauphine.psl.eu,EU
Xi'an Jiaotong University,xjtu.edu.cn,CN
"Department of Computer Science and Engineering, The Chinese University of Hong Kong",cse.cuhk.edu.hk,HK
Naver Labs Europe,naverlabs.com,KR
Nanyang Technological University,ntu.edu.sg,SG
Nanyang Technological University,ntu.edu.sg,SG
"University of California, Santa Barbara",ucsb.edu,US
Arizona State University,asu.edu,US
Unknown,unknown.edu,UNK
Microsoft,microsoft.com,US
Unknown,unknown.edu,UNK
Apple,apple.com,US
The Ohio State University,osu.edu,US
"Institute of Software, Chinese Academy of Sciences",iscas.ac.cn,CN
Alibaba Group,alibaba-inc.com,CN
Unknown,unknown.edu,UNK
Google DeepMind,google.com,US
City University of Hong Kong,cityu.edu.hk,HK
City University of Hong Kong,my.cityu.edu.hk,HK
University of Michigan,umich.edu,US
Shanghai Jiaotong University,sjtu.edu.cn,CN
Georgia Institute of Technology,gatech.edu,US
National University of Singapore,nus.edu.sg,SG
Stanford University,stanford.edu,US
Stanford University,stanford.edu,US
New York University,nyu.edu,US
Massachusetts Institute of Technology,mit.edu,US
