accept_type,author_list,filename,majority_authors_from_india,paper_content,paper_id,paper_title,pdf_url,top_author_from_india
poster,"[{'name': 'SUBBA REDDY OOTA', 'openreview_id': '~SUBBA_REDDY_OOTA1', 'affiliation_name': 'INRIA', 'affiliation_domain': 'inria.fr', 'affiliation_country': 'FR'}, {'name': 'Khushbu Pahwa', 'openreview_id': '~Khushbu_Pahwa1', 'affiliation_name': 'Amazon', 'affiliation_domain': 'amazon.com', 'affiliation_country': 'US'}, {'name': 'Mounika Marreddy', 'openreview_id': '~mounika_marreddy1', 'affiliation_name': 'International Institute of Information Technology Hyderabad, Dhirubhai Ambani Institute Of Information and Communication Technology', 'affiliation_domain': 'iiit.ac.in', 'affiliation_country': 'IN'}, {'name': 'Maneesh Kumar Singh', 'openreview_id': '~Maneesh_Kumar_Singh1', 'affiliation_name': 'Spector Inc', 'affiliation_domain': 'spector.com', 'affiliation_country': 'US'}, {'name': 'Manish Gupta', 'openreview_id': '~Manish_Gupta1', 'affiliation_name': 'Microsoft', 'affiliation_domain': 'microsoft.com', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,False,"This paper investigates how accurately multi-modal Transformer models predict brain activity in response to multi-modal stimuli, such as movies.  It compares the performance of cross-modal and jointly pre-trained models against unimodal models, aiming to discern which model type best aligns with fMRI data.  The study further analyzes which brain regions process unimodal versus multi-modal information by examining the contributions of individual modalities to multi-modal alignment.
",0dELcFHig2,Multi-modal brain encoding models for multi-modal stimuli,https://openreview.net/pdf/dfadf0e343816bc9190d426ff8cef5c30e58f921.pdf,False
poster,"[{'name': 'Utsav Singh', 'openreview_id': '~Utsav_Singh1', 'affiliation_name': 'Indian Institute of Technology, Kanpur', 'affiliation_domain': 'iitk.ac.in', 'affiliation_country': 'IN'}, {'name': '', 'openreview_id': '~Vinay_P_Namboodiri1', 'affiliation_name': 'University of Bath', 'affiliation_domain': 'bath.ac.uk', 'affiliation_country': 'GB'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,True,"This paper presents PEAR, a two-phase approach for hierarchical reinforcement learning (HRL).  PEAR leverages adaptive relabeling of expert demonstrations to generate efficient subgoal supervision.  The method then optimizes the HRL agent using a combination of reinforcement learning and imitation learning, resulting in a practical HRL framework that performs well on challenging robotic control tasks.
",0nJEgNpb4l,PEAR: Primitive Enabled Adaptive Relabeling for Boosting Hierarchical Reinforcement Learning,https://openreview.net/pdf/12d3031a9f935c986708176a7e99e20965bed69f.pdf,True
poster,"[{'name': 'Prithaj Banerjee', 'openreview_id': '~Prithaj_Banerjee1', 'affiliation_name': 'Indian Institute of Technology, Madras', 'affiliation_domain': 'iitm.ac.in', 'affiliation_country': 'IN'}, {'name': 'Harish G. Ramaswamy', 'openreview_id': '~Harish_Guruprasad_Ramaswamy1', 'affiliation_name': 'Indian Institute of Technology Madras,', 'affiliation_domain': 'iitm.ac.in', 'affiliation_country': 'IN'}, {'name': 'Mahesh Lorik Yadav', 'openreview_id': '~Mahesh_Lorik_Yadav1', 'affiliation_name': 'Indian Institute of Technology Madras', 'affiliation_domain': 'iitm.ac.in', 'affiliation_country': 'IN'}, {'name': 'Chandra Shekar Lakshminarayanan', 'openreview_id': '~Chandra_Shekar_Lakshminarayanan2', 'affiliation_name': 'Indian Institute of Technology, Madras', 'affiliation_domain': 'iitm.ac.in', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,True,"This paper investigates the feature learning mechanism in deep neural networks, focusing on how discontinuities in the true label function influence model learning.  It introduces a novel deep architecture, the Deep Linearly Gated Network (DLGN), to analyze this mechanism.  The study aims to demonstrate the movement of model function discontinuities towards label function discontinuities during training and provide a means for mechanistic interpretability.
",52UtL8uA35,Deep Networks Learn Features From Local Discontinuities in the Label Function,https://openreview.net/pdf/5ddcb1a74b2e9e4e8ed76a05e032a40ee172bf40.pdf,True
poster,"[{'name': 'Ayan Sengupta', 'openreview_id': '~Ayan_Sengupta1', 'affiliation_name': 'Indian Institute of Technology, Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}, {'name': 'Siddhant Chaudhary', 'openreview_id': '~Siddhant_Chaudhary1', 'affiliation_name': 'Indian Institute of Technology Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}, {'name': 'Tanmoy Chakraborty', 'openreview_id': '~Tanmoy_Chakraborty2', 'affiliation_name': 'Indian Institute of Technology, Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,True,"This paper introduces PruneNet, a novel model compression method for large language models (LLMs).  PruneNet learns a pruning policy to compress models without external calibration data, achieving high performance with reduced computational requirements.  The method outperforms existing techniques in preserving zero-shot performance and robustness on multitask language understanding tasks, demonstrating its superior efficiency and effectiveness.
",5RZoYIT3u6,You Only Prune Once: Designing Calibration-Free Model Compression With Policy Learning,https://openreview.net/pdf/a4ec37f08d2849b2cd4d8f203d00b3bf1aa3f16a.pdf,True
poster,"[{'name': 'Vaibhav Raj', 'openreview_id': '~Vaibhav_Raj1', 'affiliation_name': 'Department of Computer Science and Engineering, IIT Bombay', 'affiliation_domain': 'cse.iitb.ac.in', 'affiliation_country': 'IN'}, {'name': 'Indradyumna Roy', 'openreview_id': '~Indradyumna_Roy1', 'affiliation_name': 'Indian Institute of Technology Bombay', 'affiliation_domain': 'iitb.ac.in', 'affiliation_country': 'IN'}, {'name': 'Ashwin Ramachandran', 'openreview_id': '~Ashwin_Ramachandran1', 'affiliation_name': 'Department of Computer Science and Engineering, IIT Bombay', 'affiliation_domain': 'ucsd.edu', 'affiliation_country': 'IN'}, {'name': '', 'openreview_id': '~Soumen_Chakrabarti1', 'affiliation_name': 'Indian Institute of Technology Bombay', 'affiliation_domain': 'iitb.ac.in', 'affiliation_country': 'IN'}, {'name': 'Abir De', 'openreview_id': '~Abir_De1', 'affiliation_name': 'Indian Institute of Technology Bombay,', 'affiliation_domain': 'iitb.ac.in', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,True,"This paper investigates the design space of neural graph representations for subgraph matching.  It aims to systematically explore various design choices in neural graph matching networks, including interaction methods (attention vs. permutation-based) and node/edge alignment strategies.  The authors analyze existing methods and identify unexplored combinations, seeking to reveal better performance and general design principles for neural graph matching.
",5pd78GmXC6,Charting the Design Space of Neural Graph Representations for Subgraph Matching,https://openreview.net/pdf/53d17f44d595659cf050490be6c4b87018988e38.pdf,True
poster,"[{'name': 'Mridul Gupta', 'openreview_id': '~Mridul_Gupta2', 'affiliation_name': 'Indian Institute of Technology, Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}, {'name': 'Samyak Jain', 'openreview_id': '~Samyak_Jain5', 'affiliation_name': 'Indian Institute of Technology, Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}, {'name': 'Vansh Ramani', 'openreview_id': '~Vansh_Ramani1', 'affiliation_name': 'Indian Institute of Technology, Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}, {'name': 'HARIPRASAD KODAMANA', 'openreview_id': '~HARIPRASAD_KODAMANA1', 'affiliation_name': 'Indian Institute of Technology, Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}, {'name': '', 'openreview_id': '~Sayan_Ranu2', 'affiliation_name': 'Indian Institute of Technology Delhi', 'affiliation_domain': 'iitd.ac.in', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,True,"This paper introduces Bonsai, a novel, linear-time graph condensation method for node classification in Graph Neural Networks (GNNs).  Bonsai overcomes limitations of existing methods by using exemplar computation trees, enabling model-agnostic condensation and avoiding training on the full dataset.  The approach is mathematically sound, resulting in better performance and significantly faster training than existing techniques.
",5x88lQ2MsH,Bonsai: Gradient-free Graph Condensation for Node Classification,https://openreview.net/pdf/cda993376dcff91230258e560227e99852269d47.pdf,True
poster,"[{'name': 'Ravindran Kannan', 'openreview_id': '~Ravindran_Kannan1', 'affiliation_name': 'University of California, Berkeley', 'affiliation_domain': 'berkeley.edu', 'affiliation_country': 'US'}, {'name': 'Chiranjib Bhattacharyya', 'openreview_id': '~Chiranjib_Bhattacharyya1', 'affiliation_name': 'Indian Institute of Science, Indian institute of science, Bangalore', 'affiliation_domain': 'iisc.ac.in', 'affiliation_country': 'IN'}, {'name': 'Praneeth Kacham', 'openreview_id': '~Praneeth_Kacham1', 'affiliation_name': 'Google', 'affiliation_domain': 'google.com', 'affiliation_country': 'US'}, {'name': '', 'openreview_id': '~David_Woodruff1', 'affiliation_name': 'Carnegie Mellon University', 'affiliation_domain': 'cmu.edu', 'affiliation_country': 'US'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,False,"This paper presents LEVATTENTION, a novel algorithm for efficiently computing attention scores in transformer models.  The method aims to identify significant attention scores—those exceeding a threshold—in linear time, bypassing the quadratic time complexity of standard attention mechanisms.  Crucially, the algorithm achieves this without making assumptions about the input data, requiring only resources that scale polynomially with the input dimensions and a small constant for the significant scores.
",90DC0IvlSs,"LevAttention: Time, Space and Streaming Efficient Algorithm for Heavy Attentions",https://openreview.net/pdf/023378fee6afaa67593d97cb2bb8eb8142dfe1e9.pdf,False
poster,"[{'name': 'Zhenyu Sun', 'openreview_id': '~Zhenyu_Sun1', 'affiliation_name': 'Northwestern University, Northwestern University', 'affiliation_domain': 'u.northwestern.edu', 'affiliation_country': 'US'}, {'name': 'Ziyang Zhang', 'openreview_id': '~ziyang_zhang13', 'affiliation_name': 'Northwestern University', 'affiliation_domain': 'northwestern.edu', 'affiliation_country': 'US'}, {'name': '', 'openreview_id': '~Zheng_Xu2', 'affiliation_name': 'Google', 'affiliation_domain': 'google.com', 'affiliation_country': 'US'}, {'name': 'Pranay Sharma', 'openreview_id': '~Pranay_Sharma2', 'affiliation_name': 'Indian Institute of Technology, Bombay', 'affiliation_domain': 'iitb.ac.in', 'affiliation_country': 'IN'}, {'name': '', 'openreview_id': '~Ermin_Wei1', 'affiliation_name': 'Northwestern University', 'affiliation_domain': 'northwestern.edu', 'affiliation_country': 'US'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,False,"This paper investigates the impact of non-uniform and correlated client participation on federated learning algorithm convergence.  It develops a theoretical framework modeling client participation as a Markov chain, focusing on the case where clients have a minimum waiting period before re-participating.  The research aims to demonstrate how increasing this minimum separation reduces bias and to develop a debiasing algorithm for FedAvg that converges to the optimal solution even with unknown client availability.
",9h45qxXEx0,Debiasing Federated Learning with Correlated Client Participation,https://openreview.net/pdf/3a19cb16b6fde3039612026f7a6e3609f550c3f3.pdf,False
poster,"[{'name': 'Aniket Vashishtha', 'openreview_id': '~Aniket_Vashishtha1', 'affiliation_name': 'University of Illinois at Urbana-Champaign', 'affiliation_domain': 'illinois.edu', 'affiliation_country': 'US'}, {'name': 'Abbavaram Gowtham Reddy', 'openreview_id': '~Abbavaram_Gowtham_Reddy1', 'affiliation_name': 'CISPA Helmholtz Center for Information Security', 'affiliation_domain': 'cispa.de', 'affiliation_country': 'DE'}, {'name': 'Abhinav Kumar', 'openreview_id': '~Abhinav_Kumar3', 'affiliation_name': 'Massachusetts Institute of Technology', 'affiliation_domain': 'mit.edu', 'affiliation_country': 'US'}, {'name': 'Saketh Bachu', 'openreview_id': '~Saketh_Bachu1', 'affiliation_name': 'University of California, Riverside', 'affiliation_domain': 'ucr.edu', 'affiliation_country': 'US'}, {'name': 'Vineeth N. Balasubramanian', 'openreview_id': '~Vineeth_N._Balasubramanian2', 'affiliation_name': 'Research, Microsoft', 'affiliation_domain': 'research.microsoft.com', 'affiliation_country': 'IN'}, {'name': 'Amit Sharma', 'openreview_id': '~Amit_Sharma3', 'affiliation_name': 'Microsoft Research', 'affiliation_domain': 'microsoft.com', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,False,"This paper investigates using Large Language Models (LLMs) to infer causal relationships.  It argues that focusing on causal order, rather than a full causal graph, provides a more reliable output interface for imperfect experts like LLMs.  A novel querying strategy, the ""triplet method,"" is proposed to improve accuracy and reduce errors in causal order inference, even when using LLMs as imperfect experts.
",9juyeCqL0u,Causal Order: The Key to Leveraging Imperfect Experts in Causal Inference,https://openreview.net/pdf/19538e9c6965f0b37491c400db41cbc256d992c2.pdf,False
poster,"[{'name': 'KISHALAY DAS', 'openreview_id': '~KISHALAY_DAS1', 'affiliation_name': 'Indian Institute of Technology Kharagpur,', 'affiliation_domain': 'iitkgp.ac.in', 'affiliation_country': 'IN'}, {'name': 'Subhojyoti Khastagir', 'openreview_id': '~Subhojyoti_Khastagir1', 'affiliation_name': 'Indian Institute of Technology, Kharagpur', 'affiliation_domain': 'iitkgp.ac.in', 'affiliation_country': 'IN'}, {'name': '', 'openreview_id': '~Pawan_Goyal1', 'affiliation_name': 'IIT Kharagpur', 'affiliation_domain': 'cse.iitkgp.ac.in', 'affiliation_country': 'IN'}, {'name': 'Seung-Cheol Lee', 'openreview_id': '~Seung-Cheol_Lee1', 'affiliation_name': 'Indo Korea Science and Technology Center, Bangalore, India', 'affiliation_domain': 'ikst.res.in', 'affiliation_country': 'IN'}, {'name': 'Satadeep Bhattacharjee', 'openreview_id': '~Satadeep_Bhattacharjee1', 'affiliation_name': 'Indo Korea Science and Technology Center', 'affiliation_domain': 'UNK', 'affiliation_country': 'IN'}, {'name': '', 'openreview_id': '~Niloy_Ganguly1', 'affiliation_name': 'Indian Institute of Technology Kharagpur,', 'affiliation_domain': 'iitkgp.ac.in', 'affiliation_country': 'IN'}]",ui/indiaml-tracker/public/tracker/iclr-2025.json,True,"This paper introduces TGDMat, a novel diffusion model for generating 3D periodic materials.  It aims to improve upon existing models by learning the joint distribution of atom types, coordinates, and lattice structure in an end-to-end framework, incorporating global structural knowledge through textual descriptions.  The results demonstrate superior performance on both material generation and prediction tasks compared to existing baselines.
",AkBrb7yQ0G,Periodic Materials Generation using Text-Guided Joint Diffusion Model,https://openreview.net/pdf/8ad46240b718392d7de78aefb2230245544e7a1f.pdf,True
